Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
77,"ROUND OF 32","France","Sweden","New York/New Jersey Stadium","East Rutherford","United States","June 30","Tuesday, 5pm ET",2500,"FIFA Pavilion",USD,2500,"United States"
78,"ROUND OF 32","Côte d'Ivoire","Norway","Dallas Stadium","Arlington","United States","June 30","Tuesday, 12pm CT",2180,"Champions Club",USD,2180,"United States"
79,"ROUND OF 32","Mexico","Ecuador","Mexico City Stadium","Ciudad de México","Mexico","June 30","Tuesday, 7pm CT",95000,"Trophy Lounge",MXN,5429,"United States"
81,"ROUND OF 32","USA","Bosnia and Herzegovina","San Francisco Bay Area Stadium","Santa Clara","United States","July 1","Wednesday, 5pm PT",6750,"Pitchside Lounge",USD,6750,"United States"
82,"ROUND OF 32","Belgium","Senegal","Seattle Stadium","Seattle","United States","July 1","Wednesday, 1pm PT",2570,"Trophy Lounge",USD,2570,"United States"
84,"ROUND OF 32","Spain","Austria","Los Angeles Stadium","Inglewood","United States","July 2","Thursday, 12pm PT",2840,"Trophy Lounge",USD,2840,"United States"
85,"ROUND OF 32","Switzerland","Algeria","BC Place Vancouver","Vancouver","Canada","July 2","Thursday, 8pm PT",3480,"FIFA Pavilion",CAD,2451,"United States"
86,"ROUND OF 32","Argentina","Cabo Verde","Miami Stadium","Miami Gardens","United States","July 3","Friday, 6pm ET",3800,"FIFA Pavilion",USD,3800,"United States"
87,"ROUND OF 32","Colombia","Ghana","Kansas City Stadium","Kansas City","United States","July 3","Friday, 8pm CT",2900,"Champions Club",USD,2900,"United States"
88,"ROUND OF 32","Australia","Egypt","Dallas Stadium","Arlington","United States","July 3","Friday, 1pm CT",2180,"Champions Club",USD,2180,"United States"
89,"ROUND OF 16","W74","W77","Philadelphia Stadium","Philadelphia","United States","July 4","Saturday, 5pm ET",5250,"VIP",USD,5250,"United States"
90,"ROUND OF 16","Canada","W75","Houston Stadium","Houston","United States","July 4","Saturday, 12pm CT",2850,"Trophy Lounge",USD,2850,"United States"
91,"ROUND OF 16","W76","W78","New York/New Jersey Stadium","East Rutherford","United States","July 5","Sunday, 4pm ET",3100,"FIFA Pavilion",USD,3100,"United States"
92,"ROUND OF 16","W79","W80","Mexico City Stadium","Ciudad de México","Mexico","July 5","Sunday, 6pm CT",95500,"FIFA Pavilion",MXN,5457,"United States"
93,"ROUND OF 16","W83","W84","Dallas Stadium","Arlington","United States","July 6","Monday, 2pm CT",4100,"Trophy Lounge",USD,4100,"United States"
94,"ROUND OF 16","W81","W82","Seattle Stadium","Seattle","United States","July 6","Monday, 5pm PT",4325,"FIFA Pavilion",USD,4325,"United States"
96,"ROUND OF 16","W85","W87","BC Place Vancouver","Vancouver","Canada","July 7","Tuesday, 1pm PT",4150,"FIFA Pavilion",CAD,2923,"United States"
97,"QUARTER-FINALS","W89","W90","Boston Stadium","Foxborough","United States","July 9","Thursday, 4pm ET",5250,"VIP",USD,5250,"United States"
98,"QUARTER-FINALS","W93","W94","Los Angeles Stadium","Inglewood","United States","July 10","Friday, 12pm PT",7100,"Champions Club",USD,7100,"United States"
99,"QUARTER-FINALS","W91","W92","Miami Stadium","Miami Gardens","United States","July 11","Saturday, 5pm ET",6000,"Trophy Lounge",USD,6000,"United States"
100,"QUARTER-FINALS","W95","W96","Kansas City Stadium","Kansas City","United States","July 11","Saturday, 8pm CT",5050,"Trophy Lounge",USD,5050,"United States"
101,"SEMI-FINALS","W97","W98","Dallas Stadium","Arlington","United States","July 14","Tuesday, 2pm CT",8850,"Trophy Lounge",USD,8850,"United States"
102,"SEMI-FINALS","W99","W100","Atlanta Stadium","Atlanta","United States","July 15","Wednesday, 3pm ET",4250,"Supporters Club",USD,4250,"United States"
103,"BRONZE FINAL","BRONZE","FIXTURE","Miami Stadium","Miami Gardens","United States","July 18","Saturday, 5pm ET",2800,"Champions Club",USD,2800,"United States"
104,"","FINAL","FIXTURE","New York/New Jersey Stadium","East Rutherford","United States","July 19","Sunday, 3pm ET",9500,"Supporters Club",USD,9500,"United States"
